plant_id,family_name
borago_officinalis_l,Boraginaceae
atropa_belladonna_l,Solanaceae
rubus_spp,Rosaceae
menyanthes_trifoliata_l,Menyanthaceae
arctium_lappa_l,Asteraceae
brassica_oleracea_l,Brassicaceae
chondrus_crispus_stackh,Gigartinaceae
chamaemelum_nobile,Asteraceae
sinapis_arvensis_l,Brassicaceae
syzygium_aromaticum,Myrtaceae
symphytum_officinale_l,Boraginaceae
taraxacum_officinale_weber,Asteraceae
rumex_obtusifolia_l,Polygonaceae
palmaria_palmata_l_kuntze,Palmariaceae
orchis_mascula_l_l,Orchidaceae
sambucus_nigra_l,Caprifoliaceae
tanacetum_parthenium_l,Asteraceae
linum_usitatissimum_l,Linaceae
digitalis_purpurea_l,Scrophulariaceae
ulex_europaeus_l,Fabaceae
allium_sativum_l,Liliaceae
ribes_grossularia_l,Grossulariaceae
asplenium_scolopendrium_l,Aspleniaceae
conium_maculatum_l,Apiaceae
sempervivum_tectorum_l,Crassulaceae
hedera_helix_l,Araliaceae
laminaria_l,Phaeophyceae
filipendula_ulmaria_l_maxim,Rosaceae
urtica_dioica_l,Urticaceae
avena_sativa_l,Poaceae
allium_cepa_l,Lilliaceae
pisum_sativum_l,Fabaceae
mentha_piperita_l,Lamiaceae
plantago_lanceolata_l,Plantaginaceae
plantago_major_l,Plantaginaceae
solanum_tuberosum_l,Solanaceae
primula_vulgaris_hudson,Primulaceae
trifolium_pratense_l,Fabaceae
cassia_spp,Fabaceae
potentilla_anserina_l,Rosaceae
prunus_spinosa_l,Rosaceae
mentha_spicata_l,Lamiaceae
hypericum_perforatum_l,Clusiaceae
sphagnum_spp,Sphagnaceae
oxalis_acetosella_l,Oxalidaceae
lobelia_dortmanna_l,Campanulaceae
achillea_millefolium_l,Asteraceae
aloe_vera_l_burm_f,Asphodelaceae
lavandula_angustifolia_mill,Lamiaceae
oenothera_biennis_l,Onagraceae
arnica_montana_l,Asteraceae
